,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
183,João Palhinha,3,0,38,0,0,1,0,0,,0,0,0,0,26,31,83.9,2,1,1,1,1,0,41,1,2,50,2,0,0,0,0,0,0,0,3,MF,26,eng,Fulham,Portugal
184,André Silva,1,0,26,0,0,0,0,,,0,0,0,0,9,11,81.8,0,0,0,0,0,0,14,0,0,,0,0,0,0,0,0,0,1,2,FW,26,de,RB Leipzig,Portugal
185,Shūichi Gonda,4,4,390,0,0,0,0,,,0,0,0,0,68,113,60.2,0,0,0,0,1,1,124,0,0,,1,0,0,0,0,1,0,1,0,GK,33,jp,S-Pulse,Japan
186,Maya Yoshida,4,4,390,0,1,0,0,,,0,0,1,0,198,232,85.3,4,4,6,3,24,0,276,1,2,50,3,4,0,0,0,0,0,10,7,DF,33,de,Schalke 04,Japan
187,Daichi Kamada,4,4,322,0,0,6,1,0,0,0,0,0,0,83,104,79.8,7,3,3,0,3,0,139,3,4,75,1,1,3,5,0,0,0,3,2,"FW,MF",25,de,Eint Frankfurt,Japan
188,Yuto Nagatomo,4,4,209,0,0,0,0,,,0,0,0,0,78,109,71.6,4,2,2,0,3,0,122,3,4,75,6,0,0,6,0,0,0,1,2,"MF,DF",35,jp,FC Tokyo,Japan
189,Junya Ito,4,3,324,0,1,2,1,0,0,0,0,0,0,59,97,60.8,7,4,4,5,6,0,135,2,8,25,0,5,1,14,0,0,0,3,6,"MF,FW",29,fr,Reims,Japan
190,Wataru Endo,4,3,304,0,0,6,1,0,0,0,0,1,0,155,192,80.7,8,4,8,3,6,0,241,1,5,20,7,9,0,2,0,0,0,8,8,MF,29,de,Stuttgart,Japan
191,Hidemasa Morita,3,3,285,0,0,3,1,0,0,0,0,0,0,129,157,82.2,0,0,9,3,4,0,194,0,3,0,4,1,0,3,0,0,0,5,7,MF,27,pt,Sporting CP,Japan
192,Ko Itakura,3,3,270,0,1,3,1,0,0,0,0,2,0,98,111,88.3,9,5,1,4,16,0,152,0,2,0,5,0,0,0,0,0,0,0,2,DF,25,de,M'Gladbach,Japan
193,Daizen Maeda,3,3,180,1,0,2,1,0.5,1,1,0,0,0,8,17,47.1,3,2,4,3,0,0,32,0,1,0,2,3,2,0,0,0,0,1,6,FW,24,sct,Celtic,Japan
194,Ritsu Doan,4,2,217,2,0,4,3,0.5,0.67,2,0,0,0,36,56,64.3,6,5,4,3,2,0,94,4,8,50,3,4,0,9,0,0,0,1,4,FW,23,de,Freiburg,Japan
195,Shogo Taniguchi,2,2,210,0,0,2,0,0,,0,0,1,0,72,85,84.7,1,0,2,1,10,0,105,0,0,,3,0,0,0,0,0,0,8,3,DF,30,jp,Kawa Frontale,Japan
196,Ao Tanaka,3,2,171,1,0,1,1,1,1,1,0,0,0,48,69,69.6,3,1,5,3,2,0,85,0,1,0,1,1,0,2,0,0,0,3,1,MF,23,de,Düsseldorf,Japan
197,Takefusa Kubo,2,2,90,0,0,0,0,,,0,0,0,0,6,11,54.5,1,1,3,0,0,0,22,0,0,,2,2,1,0,0,0,0,1,1,FW,21,es,Real Sociedad,Japan
198,Takehiro Tomiyasu,3,1,187,0,0,0,0,,,0,0,0,0,73,103,70.9,0,0,2,0,7,1,117,0,0,,1,0,0,0,0,0,0,6,4,"DF,MF",23,eng,Arsenal,Japan
199,Hiroki Sakai,2,1,119,0,0,1,0,0,,0,0,0,0,28,47,59.6,5,4,2,1,8,0,70,0,2,0,3,1,0,2,0,0,0,3,8,"MF,DF",32,jp,Urawa Reds,Japan
200,Yuki Soma,1,1,81,0,0,3,0,0,,0,0,0,0,11,19,57.9,2,0,0,0,0,0,27,1,2,50,2,3,0,6,0,0,0,0,0,"FW,MF",25,jp,Grampus,Japan
201,Miki Yamane,1,1,61,0,0,0,0,,,0,0,1,0,24,33,72.7,1,0,2,2,0,0,38,1,1,100,2,1,0,2,0,0,0,0,1,"DF,MF",28,jp,Kawa Frontale,Japan
202,Ayase Ueda,1,1,45,0,0,0,0,,,0,0,0,0,7,12,58.3,0,0,1,0,2,0,23,0,0,,1,0,0,0,0,0,0,1,0,FW,23,be,Cercle Brugge,Japan
203,Takuma Asano,4,0,165,1,0,8,2,0.13,0.5,1,0,0,0,21,28,75,0,0,0,1,1,0,49,0,1,0,4,0,2,1,0,0,0,1,9,FW,27,de,Bochum,Japan
204,Kaoru Mitoma,4,0,165,0,1,1,1,0,0,0,0,0,0,50,70,71.4,7,2,4,2,5,0,100,2,5,40,3,1,0,0,0,0,0,2,3,MF,25,eng,Brighton,Japan
205,Takumi Minamino,3,0,60,0,0,2,1,0,0,0,0,0,0,14,22,63.6,2,1,0,0,1,0,31,0,0,,1,0,0,3,0,0,0,0,2,FW,27,fr,Monaco,Japan
206,Hiroki Ito,1,0,45,0,0,0,0,,,0,0,0,0,58,63,92.1,0,0,0,0,0,0,64,0,0,,3,0,0,0,0,0,0,1,0,DF,23,de,Stuttgart,Japan
207,Kalidou Koulibaly,4,4,360,1,0,2,1,0.5,1,1,0,1,0,156,205,76.1,12,9,4,2,30,0,261,0,0,,3,3,0,0,0,0,0,11,5,DF,30,eng,Chelsea,Senegal
208,Edouard Mendy,4,4,360,0,0,0,0,,,0,0,0,0,88,120,73.3,0,0,1,0,3,1,127,0,0,,0,0,0,0,0,0,0,3,1,GK,30,eng,Chelsea,Senegal
209,Youssouf Sabaly,4,4,360,0,0,2,1,0,0,0,0,0,0,189,219,86.3,6,6,1,4,9,0,256,4,9,44.4,3,12,0,7,0,0,0,4,3,DF,29,es,Betis,Senegal
210,Ismaila Sarr,4,4,344,1,0,10,1,0,0,0,1,0,0,52,81,64.2,4,2,2,2,1,0,132,9,19,47.4,3,17,3,8,1,0,0,8,8,"FW,MF",24,eng,Watford,Senegal
211,Abdou Diallo,4,4,331,0,0,1,0,0,,0,0,0,0,139,186,74.7,2,2,1,1,10,0,210,0,0,,3,0,0,3,0,0,0,7,6,DF,26,de,RB Leipzig,Senegal
212,Boulaye Dia,4,4,318,1,0,8,3,0.13,0.33,1,0,1,0,39,53,73.6,1,0,1,1,3,0,83,1,4,25,3,3,2,1,0,0,0,5,7,FW,25,it,Salernitana,Senegal
213,Ismail Jakobs,4,3,278,0,1,1,0,0,,0,0,1,0,107,156,68.6,0,0,3,4,14,0,187,0,1,0,3,6,0,18,0,0,0,8,3,DF,22,fr,Monaco,Senegal
214,Nampalys Mendy,4,3,272,0,0,2,0,0,,0,0,1,0,141,159,88.7,4,4,4,3,3,0,182,1,1,100,5,2,0,2,0,0,0,0,1,MF,29,eng,Leicester City,Senegal
215,Idrissa Gana Gueye,3,3,270,0,0,4,1,0,0,0,0,2,0,107,133,80.5,2,1,3,5,3,0,158,1,2,50,4,1,0,15,0,0,0,2,3,MF,32,eng,Everton,Senegal
216,Krépin Diatta,3,3,181,0,0,3,1,0,0,0,0,0,0,60,73,82.2,0,0,1,0,0,0,90,1,3,33.3,4,2,2,4,0,0,0,2,1,"FW,MF",23,fr,Monaco,Senegal
217,Pathé Ciss,3,2,146,0,0,1,0,0,,0,0,1,0,46,57,80.7,3,3,1,2,4,0,77,1,3,33.3,4,0,0,0,0,0,0,5,0,MF,28,es,Rayo Vallecano,Senegal
218,Iliman Ndiaye,3,2,135,0,1,2,0,0,,0,0,0,0,25,32,78.1,0,0,2,1,0,0,44,6,8,75,0,1,0,2,0,0,0,0,3,"FW,MF",22,eng,Sheffield Utd,Senegal
219,Pape Gueye,3,1,153,0,0,4,2,0,0,0,0,0,0,45,62,72.6,4,2,2,2,2,0,81,0,1,0,3,3,0,1,0,0,0,5,3,MF,23,fr,Marseille,Senegal
220,Pape Abou Cissé,3,1,105,0,0,0,0,,,0,0,0,0,28,37,75.7,0,0,2,2,6,0,49,1,1,100,1,0,0,0,0,0,0,2,3,DF,26,gr,Olympiacos,Senegal
221,Famara Diedhiou,2,1,92,1,0,3,1,0.33,1,1,0,0,0,10,14,71.4,0,0,0,0,2,0,25,0,1,0,2,2,1,0,0,0,0,5,4,FW,29,tr,Alanyaspor,Senegal
222,Cheikhou Kouyaté,1,1,72,0,0,0,0,,,0,0,0,0,19,23,82.6,0,0,2,2,4,0,35,1,1,100,1,1,0,2,0,0,0,1,2,MF,32,eng,Nott'ham Forest,Senegal
223,Bamba Dieng,4,0,100,1,0,4,1,0.25,1,1,0,0,0,9,16,56.3,2,1,2,0,0,0,33,0,2,0,5,3,0,1,0,0,0,2,8,FW,22,fr,Marseille,Senegal
224,Pape Matar Sarr,2,0,59,0,0,4,0,0,,0,0,0,0,36,43,83.7,3,2,1,0,2,0,54,0,2,0,0,1,0,5,0,0,0,1,0,MF,19,eng,Tottenham,Senegal
225,Nicolas Jackson,1,0,17,0,0,0,0,,,0,0,0,0,9,10,90,0,0,0,0,0,0,11,0,0,,1,0,0,0,0,0,0,0,2,FW,20,es,Villarreal,Senegal
226,Fodé Ballo-Touré,1,0,7,0,0,0,0,,,0,0,0,0,5,8,62.5,0,0,1,0,0,0,10,0,1,0,0,0,0,2,0,0,0,1,0,DF,25,it,Milan,Senegal
227,Aziz Behich,4,4,360,0,0,2,0,0,,0,0,1,0,152,203,74.9,8,3,6,3,12,0,251,8,14,57.1,3,3,0,5,0,0,0,2,2,DF,31,sct,Dundee United,Australia
228,Aaron Mooy,4,4,360,0,0,1,0,0,,0,0,1,0,170,217,78.3,9,6,6,3,9,0,256,2,3,66.7,4,1,0,10,0,0,0,2,3,MF,31,sct,Celtic,Australia
229,Kye Rowles,4,4,360,0,0,0,0,,,0,0,0,0,165,187,88.2,8,2,9,7,16,1,232,0,0,,1,2,0,0,0,0,0,4,2,DF,23,sct,Hearts,Australia
230,Mathew Ryan,4,4,360,0,0,0,0,,,0,0,0,0,113,164,68.9,0,0,0,0,6,1,176,0,0,,0,1,0,0,0,0,0,0,0,GK,30,dk,FC Copenhagen,Australia
231,Harry Souttar,4,4,360,0,0,1,0,0,,0,0,0,0,138,167,82.6,4,0,7,6,22,0,212,0,0,,1,1,0,0,0,0,0,14,7,DF,23,eng,Stoke City,Australia
232,Jackson Irvine,4,4,354,0,0,3,0,0,,0,0,2,0,103,128,80.5,4,2,7,3,8,0,171,0,2,0,7,2,0,2,0,0,0,9,7,"MF,FW",29,de,St,Australia
233,Mathew Leckie,4,4,333,1,1,1,1,1,1,1,0,0,0,67,103,65,4,4,5,1,6,0,156,1,11,9.1,8,6,0,4,0,0,0,14,10,"MF,FW",31,au,Melb City,Australia
234,Mitchell Duke,4,4,270,1,0,7,4,0.14,0.25,1,0,1,0,36,63,57.1,0,0,5,2,1,0,97,1,2,50,6,3,1,1,0,0,0,11,12,FW,31,jp,Fagi Okayama,Australia
235,Riley McGree,4,4,265,0,1,3,1,0,0,0,0,0,0,57,75,76,2,1,5,5,3,0,107,0,1,0,9,2,0,5,0,0,0,1,2,"FW,MF",23,eng,Middlesbrough,Australia
236,Craig Goodwin,4,3,234,1,1,2,1,0.5,1,1,0,0,0,58,95,61.1,4,3,3,0,3,0,117,0,0,,1,2,0,18,0,0,0,1,5,MF,30,au,Adelaide,Australia
237,Miloš Degenek,4,2,183,0,0,0,0,,,0,0,2,0,67,101,66.3,6,4,2,1,9,0,127,0,2,0,2,8,0,1,0,0,0,6,1,DF,28,us,Columbus Crew,Australia
238,Keanu Baccus,4,1,114,0,0,1,0,0,,0,0,0,0,26,41,63.4,1,1,5,2,1,0,57,0,1,0,4,1,0,0,0,0,0,1,3,MF,24,sct,St Mirren,Australia
239,Fran Karačić,2,1,93,0,0,3,0,0,,0,0,0,0,33,54,61.1,2,1,2,2,3,0,70,0,0,,3,0,0,5,0,0,0,4,4,DF,26,it,Brescia,Australia
240,Nathaniel Atkinson,1,1,84,0,0,0,0,,,0,0,0,0,27,34,79.4,4,3,1,1,2,1,44,0,2,0,0,0,0,0,0,0,0,0,0,DF,23,sct,Hearts,Australia
241,Ajdin Hrustic,3,0,62,0,0,1,0,0,,0,0,0,0,17,21,81,2,0,0,1,1,0,32,1,4,25,1,2,0,1,0,0,0,0,2,"MF,FW",25,it,Hellas Verona,Australia
242,Jamie Maclaren,3,0,55,0,0,0,0,,,0,0,0,0,7,15,46.7,0,0,0,1,0,0,15,0,0,,1,0,0,2,0,0,0,1,4,FW,28,au,Melb City,Australia
